variable,stage,state_type,defined_by_formula_id,source_v4_line,observable,notes
agg_tm_cyclone_sand_valve_setpoint,tower_mill,dcs,V5_0270,1417,yes,
agg_tm_cyclone_sand_water_flow,tower_mill,dcs,V5_0271,1419,yes,
agg_tm_motor_current,tower_mill,dcs,V5_0272,1420,yes,
agg_tm_overflow_pump_current,tower_mill,dcs,V5_0273,1428,yes,
agg_tm_reducer_oil_temp,tower_mill,dcs,V5_0274,1421,yes,
agg_tm_reducer_outlet_temp,tower_mill,dcs,V5_0275,1422,yes,
air_filter_fouling,flotation,derived,V5_0276,1540,no,
alpha_ov,tower_mill,derived,V5_0277,1329,no,
alpha_ov_water,tower_mill,derived,V5_0278,1336,no,
"availability_iin{0,1},i",boundary,derived,V5_0279,315,no,
bed_mass_s,flotation,derived,V5_0280,1464,no,
blower_load_share_b,flotation,derived,V5_0281,1542,no,
blower_power_share1,flotation,derived,V5_0282,1662,no,
blower_power_share2,flotation,derived,V5_0283,1663,no,
blower_speed_b,flotation,derived,V5_0284,1545,no,
blower_speed_sp_b,flotation,derived,V5_0285,1544,no,
buffer_capacity,global,derived,V5_0286,238,no,
buffer_capacity_s,flotation,derived,V5_0287,1519,no,
capture_j,magnetic,derived,V5_0288,518,no,
circulating_load,tower_mill,derived,V5_0289,1357,no,
circulating_load_lag,tower_mill,derived,V5_0290,1323,no,
clog_buildup,magnetic,derived,V5_0291,1224,no,
clog_wash,magnetic,derived,V5_0292,1230,no,
conc_j,magnetic,derived,V5_0293,534,no,
d(air_filter_fouling)/dt,flotation,derivative,V5_0294,1539,no,
d50,tower_mill,derived,V5_0295,1328,no,
dL_cell/dt,flotation,derivative,V5_0296,896,no,
"dL_cell_{s,c}/dt",flotation,derivative,V5_0297,1620,no,
dL_k6_s/dt,flotation,derivative,V5_0298,1510,no,
dL_mag/dt,magnetic,derivative,V5_0299,1242,no,
dL_ov_pool/dt,tower_mill,derivative,V5_0300,1401,no,
dL_pool/dt,tower_mill,derivative,V5_0301,1311,no,
"dL_pool_{s,k}/dt",flotation,derivative,V5_0302,1637,no,
dM_NT_solid/dt,flotation,derivative,V5_0303,723,no,
dM_NT_solid_s/dt,flotation,derivative,V5_0304,1451,no,
dM_cell_j/dt,flotation,derivative,V5_0305,947,no,
"dM_cell_j_{s,c}/dt",flotation,derivative,V5_0306,1614,no,
dV_NT_water/dt,flotation,derivative,V5_0307,724,no,
dV_NT_water_s/dt,flotation,derivative,V5_0308,1452,no,
dWI_i,global,derived,V5_0309,144,no,
dclay_i,global,derived,V5_0310,145,no,
delta_T_mill,tower_mill,derived,V5_0311,1377,no,
dose_DF_K6_effective,flotation,derived,V5_0312,920,no,
dose_DF_K6_effective_s,flotation,derived,V5_0313,1504,no,
dose_TD_effective,flotation,derived,V5_0314,919,no,
dose_TD_effective_s,flotation,derived,V5_0315,1503,no,
dose_j_kg_t,flotation,derived,V5_0316,786,no,
dose_need_DF_K6,flotation,derived,V5_0317,776,no,
dose_need_DF_K6_s,flotation,derived,V5_0318,1493,no,
dose_need_TD_clean,flotation,derived,V5_0319,770,no,
dose_need_TD_clean_s,flotation,derived,V5_0320,1492,no,
dose_need_TD_rough,flotation,derived,V5_0321,762,no,
dose_need_TD_rough_s,flotation,derived,V5_0322,1491,no,
dose_need_cao,flotation,derived,V5_0323,810,no,
dose_need_cao_s,flotation,derived,V5_0324,1522,no,
dose_need_naoh,flotation,derived,V5_0325,809,no,
dose_need_naoh_s,flotation,derived,V5_0326,1521,no,
"dose_need_{s,cao}",flotation,derived,V5_0327,1524,no,
"dose_need_{s,k6_rough}",flotation,derived,V5_0328,1497,no,
"dose_need_{s,naoh}",flotation,derived,V5_0329,1523,no,
"dose_need_{s,td_clean}",flotation,derived,V5_0330,1496,no,
"dose_need_{s,td_rough}",flotation,derived,V5_0331,1495,no,
dr_carb_i,global,derived,V5_0332,146,no,
entrainment_factor,flotation,derived,V5_0333,912,no,
"entrainment_factor_{s,c}",flotation,derived,V5_0334,1600,no,
event_k6_refill_s,flotation,derived,V5_0335,1512,no,
f25_i,boundary,derived,V5_0336,334,no,
f25_mixed,boundary,derived,V5_0337,408,no,
f_j,flotation,derived,V5_0338,784,no,
f_j_sp,flotation,setpoint,V5_0339,783,no,
f_oil_pump,tower_mill,derived,V5_0340,1386,no,
f_oil_pump_sp,tower_mill,setpoint,V5_0341,1385,no,
f_ov_pump_sp,tower_mill,setpoint,V5_0342,1402,no,
"f_pool_sp_{s,k}",flotation,derived,V5_0343,1638,no,
