from_variable,to_variable,stage,formula_id,edge_type,source_v4_line
blower_speed_prev_b,blower_speed_b,flotation,V5_0284,formula_parent,1545
tau_blower_speed_b,blower_speed_b,flotation,V5_0284,formula_parent,1545
speed_nom_b,blower_speed_sp_b,flotation,V5_0285,formula_parent,1544
KP_header_b,blower_speed_sp_b,flotation,V5_0285,formula_parent,1544
P_header_sp,blower_speed_sp_b,flotation,V5_0285,formula_parent,1544
P_header,blower_speed_sp_b,flotation,V5_0285,formula_parent,1544
KQ_blower_b,blower_speed_sp_b,flotation,V5_0285,formula_parent,1544
Q_blower_b,blower_speed_sp_b,flotation,V5_0285,formula_parent,1544
Q_blower_ref_b,blower_speed_sp_b,flotation,V5_0285,formula_parent,1544
speed_min_b,blower_speed_sp_b,flotation,V5_0285,formula_parent,1544
speed_max_b,blower_speed_sp_b,flotation,V5_0285,formula_parent,1544
b0,buffer_capacity,global,V5_0286,formula_parent,238
b_carb,buffer_capacity,global,V5_0286,formula_parent,238
r_carb,buffer_capacity,global,V5_0286,formula_parent,238
b_sil,buffer_capacity,global,V5_0286,formula_parent,238
r_sil,buffer_capacity,global,V5_0286,formula_parent,238
b_clay,buffer_capacity,global,V5_0286,formula_parent,238
clay,buffer_capacity,global,V5_0286,formula_parent,238
b_C,buffer_capacity,global,V5_0286,formula_parent,238
b_flow,buffer_capacity,global,V5_0286,formula_parent,238
M_solid,buffer_capacity,global,V5_0286,formula_parent,238
b0,buffer_capacity_s,flotation,V5_0287,formula_parent,1519
b_carb,buffer_capacity_s,flotation,V5_0287,formula_parent,1519
r_carb_s,buffer_capacity_s,flotation,V5_0287,formula_parent,1519
b_sil,buffer_capacity_s,flotation,V5_0287,formula_parent,1519
r_sil_s,buffer_capacity_s,flotation,V5_0287,formula_parent,1519
b_clay,buffer_capacity_s,flotation,V5_0287,formula_parent,1519
clay_s,buffer_capacity_s,flotation,V5_0287,formula_parent,1519
b_C,buffer_capacity_s,flotation,V5_0287,formula_parent,1519
C_s,buffer_capacity_s,flotation,V5_0287,formula_parent,1519
b_flow,buffer_capacity_s,flotation,V5_0287,formula_parent,1519
M_feed_solid_s,buffer_capacity_s,flotation,V5_0287,formula_parent,1519
a0_j,capture_j,magnetic,V5_0288,formula_parent,518
aB_j,capture_j,magnetic,V5_0288,formula_parent,518
B_eff,capture_j,magnetic,V5_0288,formula_parent,518
B_ref,capture_j,magnetic,V5_0288,formula_parent,518
aL_j,capture_j,magnetic,V5_0288,formula_parent,518
Liberation_j,capture_j,magnetic,V5_0288,formula_parent,518
L_ref,capture_j,magnetic,V5_0288,formula_parent,518
aSize_j,capture_j,magnetic,V5_0288,formula_parent,518
F200,capture_j,magnetic,V5_0288,formula_parent,518
F200_ref,capture_j,magnetic,V5_0288,formula_parent,518
aC_j,capture_j,magnetic,V5_0288,formula_parent,518
C_ref,capture_j,magnetic,V5_0288,formula_parent,518
aQ_j,capture_j,magnetic,V5_0288,formula_parent,518
Q_feed,capture_j,magnetic,V5_0288,formula_parent,518
Q_ref,capture_j,magnetic,V5_0288,formula_parent,518
